priority,security_impact,data_impact,category,schema,object,subobject,status,severity,source_migration,local_state,remote_state,details,evidence_quality,likely_cause,recommended_strategy,requires_remote_change,requires_history_alignment,manual_review_status
P0,REVIEW_REQUIRED,LOW,function,public,admin_atualizar_perfil,"p_user_id uuid, p_nome text, p_role text, p_tipo_acesso text, p_status text",REMOTE_OVERLOAD_ONLY,critical,20260716090000_baseline_aruka_v1.sql,absent,present,Object exists only in remote evidence.,SIGNATURE_AWARE_FOR_FUNCTIONS_PARTIAL_FOR_GRANTS,Function signature exists on only one side or remote evidence has overload gap.,Review object-specific diff and design incremental reconciliation only after evidence collection.,true,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function,public,admin_bloquear_usuario,p_user_id uuid,REMOTE_OVERLOAD_ONLY,critical,20260716090000_baseline_aruka_v1.sql,absent,present,Object exists only in remote evidence.,SIGNATURE_AWARE_FOR_FUNCTIONS_PARTIAL_FOR_GRANTS,Function signature exists on only one side or remote evidence has overload gap.,Review object-specific diff and design incremental reconciliation only after evidence collection.,true,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function,public,admin_liberar_assinante,"p_user_id uuid, p_plano text, p_data_inicio date, p_data_vencimento date",REMOTE_OVERLOAD_ONLY,critical,20260716090000_baseline_aruka_v1.sql,absent,present,Object exists only in remote evidence.,SIGNATURE_AWARE_FOR_FUNCTIONS_PARTIAL_FOR_GRANTS,Function signature exists on only one side or remote evidence has overload gap.,Review object-specific diff and design incremental reconciliation only after evidence collection.,true,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function,public,admin_liberar_beta,p_user_id uuid,REMOTE_OVERLOAD_ONLY,critical,20260716090000_baseline_aruka_v1.sql,absent,present,Object exists only in remote evidence.,SIGNATURE_AWARE_FOR_FUNCTIONS_PARTIAL_FOR_GRANTS,Function signature exists on only one side or remote evidence has overload gap.,Review object-specific diff and design incremental reconciliation only after evidence collection.,true,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function,public,admin_listar_logs,"p_acao text, p_target_user_id uuid, p_data_inicio date, p_data_fim date, p_busca text",BODY_DIFFERENT,critical,return_type: local_raw=[len 277 hash 33ef26b] remote_raw=[len 277 hash 33ef26b] local_norm=[len 277 hash 8ee55b0b] remote_norm=[len 277 hash 8ee55b0b] local_hash=8ee55b0b remote_hash=8ee55b0b; security_definer: local_raw=true remote_raw=true local_norm=true remote_norm=true local_hash=7c9e9fe5 remote_hash=7c9e9fe5; volatility: local_raw=VOLATILE remote_raw=v local_norm=VOLATILE remote_norm=VOLATILE local_hash=51192625 remote_hash=51192625; definition: local_raw=[len 2217 hash 47c274e1] remote_raw=[len 2597 hash b99c082e] local_norm=[len 1924 hash 3ec521db] remote_norm=[len 2197 hash 9275210f] local_hash=3ec521db remote_hash=9275210f,present,present,Function body normalized hash differs.,CATALOG_CSV_AND_LOCAL_CATALOG,Schema contract differs after safe normalization.,Review object-specific diff and design incremental reconciliation only after evidence collection.,true,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function,public,admin_listar_usuarios,,BODY_DIFFERENT,critical,return_type: local_raw=[len 208 hash 80b7f47b] remote_raw=[len 208 hash 80b7f47b] local_norm=[len 208 hash 201d791b] remote_norm=[len 208 hash 201d791b] local_hash=201d791b remote_hash=201d791b; security_definer: local_raw=true remote_raw=true local_norm=true remote_norm=true local_hash=7c9e9fe5 remote_hash=7c9e9fe5; volatility: local_raw=VOLATILE remote_raw=v local_norm=VOLATILE remote_norm=VOLATILE local_hash=51192625 remote_hash=51192625; definition: local_raw=[len 1267 hash bd75ea6d] remote_raw=[len 1393 hash 56b4a32d] local_norm=[len 1069 hash bf16df8] remote_norm=[len 1163 hash eafadef8] local_hash=bf16df8 remote_hash=eafadef8,present,present,Function body normalized hash differs.,CATALOG_CSV_AND_LOCAL_CATALOG,Schema contract differs after safe normalization.,Review object-specific diff and design incremental reconciliation only after evidence collection.,true,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function,public,admin_registrar_log,"p_target_user_id uuid, p_acao text, p_entidade text, p_entidade_id uuid, p_dados_anteriores jsonb, p_dados_novos jsonb, p_user_agent text",BODY_DIFFERENT,critical,return_type: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; security_definer: local_raw=true remote_raw=true local_norm=true remote_norm=true local_hash=7c9e9fe5 remote_hash=7c9e9fe5; volatility: local_raw=VOLATILE remote_raw=v local_norm=VOLATILE remote_norm=VOLATILE local_hash=51192625 remote_hash=51192625; definition: local_raw=[len 894 hash 53a972a5] remote_raw=[len 1179 hash ac3b769d] local_norm=[len 698 hash 87baeeed] remote_norm=[len 911 hash 35b86b07] local_hash=87baeeed remote_hash=35b86b07,present,present,Function body normalized hash differs.,CATALOG_CSV_AND_LOCAL_CATALOG,Schema contract differs after safe normalization.,Review object-specific diff and design incremental reconciliation only after evidence collection.,true,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function,public,admin_upsert_assinatura,"p_user_id uuid, p_plano text, p_status text, p_data_inicio date, p_data_vencimento date",REMOTE_OVERLOAD_ONLY,critical,20260716090000_baseline_aruka_v1.sql,absent,present,Object exists only in remote evidence.,SIGNATURE_AWARE_FOR_FUNCTIONS_PARTIAL_FOR_GRANTS,Function signature exists on only one side or remote evidence has overload gap.,Review object-specific diff and design incremental reconciliation only after evidence collection.,true,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function,public,admin_upsert_assinatura,"p_user_id uuid, p_plano text, p_status text, p_data_inicio date, p_data_vencimento date, p_user_agent text",BODY_DIFFERENT,critical,return_type: local_raw=void remote_raw=void local_norm=void remote_norm=void local_hash=7c9faa57 remote_hash=7c9faa57; security_definer: local_raw=true remote_raw=true local_norm=true remote_norm=true local_hash=7c9e9fe5 remote_hash=7c9e9fe5; volatility: local_raw=VOLATILE remote_raw=v local_norm=VOLATILE remote_norm=VOLATILE local_hash=51192625 remote_hash=51192625; definition: local_raw=[len 1831 hash de03914e] remote_raw=[len 2023 hash c9c60e05] local_norm=[len 1609 hash ef3f521a] remote_norm=[len 1621 hash 601807d6] local_hash=ef3f521a remote_hash=601807d6,present,present,Function body normalized hash differs.,CATALOG_CSV_AND_LOCAL_CATALOG,Schema contract differs after safe normalization.,Review object-specific diff and design incremental reconciliation only after evidence collection.,true,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_atualizar_perfil,authenticated.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for authenticated.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
