category,function,signature,divergence,local_callers,remote_compatibility_risk,security_difference,business_difference,financial_risk,desired_state,decision,migration_candidate,migration_group,evidence_complete,reason,next_action,security_decision,local_security_definer,remote_security_definer,local_search_path,remote_search_path,execute_grants
ADMIN,admin_atualizar_perfil,"p_user_id uuid, p_nome text, p_role text, p_tipo_acesso text, p_status text",REMOTE_OVERLOAD_ONLY,"legacy_without_p_user_agent=NONE | modern_with_p_user_agent=src/services/adminService.js:12:const { error } = await supabase.rpc(""admin_atualizar_perfil"", { p_user_id: userId, p_nome: perfil.nome || """", p_role: perfil.role, p_tipo_acesso: perfil.tipoAcesso, p_status: perfil.status, p_user_agent: obterUserAgent(), }); if (error) throw error; } export async function upsertAssinaturaAdmin(userId, assinatura) { const { error } = await supabase.rpc(""admin_upsert_assinatura"", {",AUTHENTICATED_REMOTE_GRANT_PRESENT,LEGACY_OVERLOAD_AUTHENTICATED_GRANT_UNVERIFIED,REMOTE_LEGACY_OVERLOAD_WITH_MODERN_LOCAL_REPLACEMENT,NO_DIRECT_FINANCIAL_RISK_IDENTIFIED,MODERN_USER_AGENT_SIGNATURE_ONLY_AFTER_COMPATIBILITY_APPROVAL,DEPRECATE_REMOTE_OVERLOAD_LATER,false,GROUP_C_ADMIN_LEGACY_OVERLOADS,false,"No current src RPC caller omits p_user_agent, but remote authenticated grant is present and full remote definition must be captured before removal.",Collect full remote pg_get_functiondef with the generated SELECT-only SQL before migration design.,SECURITY_EQUIVALENT,true,true,public,public,authenticated.execute; postgres.execute; service_role.execute
ADMIN,admin_bloquear_usuario,p_user_id uuid,REMOTE_OVERLOAD_ONLY,"legacy_without_p_user_agent=NONE | modern_with_p_user_agent=src/services/adminService.js:38:const { error } = await supabase.rpc(""admin_bloquear_usuario"", { p_user_id: userId, p_user_agent: obterUserAgent(), }); if (error) throw error; } export async function liberarBetaAdmin(userId) { const { error } = await supabase.rpc(""admin_liberar_beta"", { p_user_id: userId, p_user_agent: obterUserAgent(), });",AUTHENTICATED_REMOTE_GRANT_PRESENT,LEGACY_OVERLOAD_AUTHENTICATED_GRANT_UNVERIFIED,REMOTE_LEGACY_OVERLOAD_WITH_MODERN_LOCAL_REPLACEMENT,NO_DIRECT_FINANCIAL_RISK_IDENTIFIED,MODERN_USER_AGENT_SIGNATURE_ONLY_AFTER_COMPATIBILITY_APPROVAL,DEPRECATE_REMOTE_OVERLOAD_LATER,false,GROUP_C_ADMIN_LEGACY_OVERLOADS,false,"No current src RPC caller omits p_user_agent, but remote authenticated grant is present and full remote definition must be captured before removal.",Collect full remote pg_get_functiondef with the generated SELECT-only SQL before migration design.,SECURITY_EQUIVALENT,true,true,public,public,authenticated.execute; postgres.execute; service_role.execute
FINANCIAL,admin_liberar_assinante,"p_user_id uuid, p_plano text, p_data_inicio date, p_data_vencimento date",REMOTE_OVERLOAD_ONLY,"legacy_without_p_user_agent=NONE | modern_with_p_user_agent=src/services/adminService.js:61:const { error } = await supabase.rpc(""admin_liberar_assinante"", { p_user_id: userId, p_plano: plano || ""Mensal"", p_data_inicio: dataInicio || null, p_data_vencimento: dataVencimento || null, p_user_agent: obterUserAgent(), }); if (error) throw error; } export async function transferirAcessoAdmin(userId, novoEmail) { const { data, error } = await supabase.functions.invoke(""transfer-user-access"", { body: {",AUTHENTICATED_REMOTE_GRANT_PRESENT,LEGACY_OVERLOAD_AUTHENTICATED_GRANT_UNVERIFIED,REMOTE_LEGACY_OVERLOAD_WITH_MODERN_LOCAL_REPLACEMENT,HIGH_RISK_FINANCIAL_FUNCTION,MODERN_USER_AGENT_SIGNATURE_ONLY_AFTER_COMPATIBILITY_APPROVAL,DEPRECATE_REMOTE_OVERLOAD_LATER,false,GROUP_D_FINANCIAL_FUNCTION_RECONCILIATION,false,"No current src RPC caller omits p_user_agent, but remote authenticated grant is present and full remote definition must be captured before removal.",Collect full remote pg_get_functiondef with the generated SELECT-only SQL before migration design.,SECURITY_EQUIVALENT,true,true,public,public,authenticated.execute; postgres.execute; service_role.execute
FINANCIAL,admin_liberar_beta,p_user_id uuid,REMOTE_OVERLOAD_ONLY,"legacy_without_p_user_agent=NONE | modern_with_p_user_agent=src/services/adminService.js:47:const { error } = await supabase.rpc(""admin_liberar_beta"", { p_user_id: userId, p_user_agent: obterUserAgent(), }); if (error) throw error; } export async function liberarAssinanteAdmin( userId, plano, dataInicio, dataVencimento ) {",AUTHENTICATED_REMOTE_GRANT_PRESENT,LEGACY_OVERLOAD_AUTHENTICATED_GRANT_UNVERIFIED,REMOTE_LEGACY_OVERLOAD_WITH_MODERN_LOCAL_REPLACEMENT,HIGH_RISK_FINANCIAL_FUNCTION,MODERN_USER_AGENT_SIGNATURE_ONLY_AFTER_COMPATIBILITY_APPROVAL,DEPRECATE_REMOTE_OVERLOAD_LATER,false,GROUP_D_FINANCIAL_FUNCTION_RECONCILIATION,false,"No current src RPC caller omits p_user_agent, but remote authenticated grant is present and full remote definition must be captured before removal.",Collect full remote pg_get_functiondef with the generated SELECT-only SQL before migration design.,SECURITY_EQUIVALENT,true,true,public,public,authenticated.execute; postgres.execute; service_role.execute
ADMIN,admin_listar_logs,"p_acao text, p_target_user_id uuid, p_data_inicio date, p_data_fim date, p_busca text",BODY_DIFFERENT,"src/services/adminLogsService.js:8:const { data, error } = await supabase.rpc(""admin_listar_logs"", { p_acao: filtros.acao || null, p_target_user_id: filtros.targetUserId || null, p_data_inicio: filtros.dataInicio || null, p_data_fim: filtros.dataFim || null, p_busca: filtros.busca || null, }); if (error) throw error; return (data || []).map(rowParaAdminLog); } function rowParaAdminLog(row) {",NOT_REMOTE_OVERLOAD,REMOTE_BODY_SECURITY_UNKNOWN_WITHOUT_FULL_DEFINITION,REMOTE_BODY_MISSING_FOR_SEMANTIC_DIFF,NO_DIRECT_FINANCIAL_RISK_IDENTIFIED,NO_AUTOMATIC_SQL_FOR_admin_listar_logs,EVIDENCE_REQUIRED,false,GROUP_B_ADMIN_BODY_RECONCILIATION,false,Existing artifacts have hashes/config/grants but not full remote pg_get_functiondef body.,Collect full remote pg_get_functiondef with the generated SELECT-only SQL before migration design.,SECURITY_REVIEW_REQUIRED,true,true,"'public', 'auth'",public,authenticated.execute; postgres.execute; service_role.execute
ADMIN,admin_listar_usuarios,,BODY_DIFFERENT,"src/services/adminService.js:4:const { data, error } = await supabase.rpc(""admin_listar_usuarios""); if (error) throw error; return (data || []).map(rowParaUsuarioAdmin); } export async function atualizarPerfilAdmin(userId, perfil) { const { error } = await supabase.rpc(""admin_atualizar_perfil"", { p_user_id: userId, p_nome: perfil.nome || """", p_role: perfil.role, p_tipo_acesso: perfil.tipoAcesso, p_status: perfil.status,",NOT_REMOTE_OVERLOAD,REMOTE_BODY_SECURITY_UNKNOWN_WITHOUT_FULL_DEFINITION,REMOTE_BODY_MISSING_FOR_SEMANTIC_DIFF,NO_DIRECT_FINANCIAL_RISK_IDENTIFIED,NO_AUTOMATIC_SQL_FOR_admin_listar_usuarios,EVIDENCE_REQUIRED,false,GROUP_B_ADMIN_BODY_RECONCILIATION,false,Existing artifacts have hashes/config/grants but not full remote pg_get_functiondef body.,Collect full remote pg_get_functiondef with the generated SELECT-only SQL before migration design.,SECURITY_REVIEW_REQUIRED,true,true,"'public', 'auth'",public,authenticated.execute; postgres.execute; service_role.execute
ADMIN,admin_registrar_log,"p_target_user_id uuid, p_acao text, p_entidade text, p_entidade_id uuid, p_dados_anteriores jsonb, p_dados_novos jsonb, p_user_agent text",BODY_DIFFERENT,NONE,NOT_REMOTE_OVERLOAD,REMOTE_BODY_SECURITY_UNKNOWN_WITHOUT_FULL_DEFINITION,REMOTE_BODY_MISSING_FOR_SEMANTIC_DIFF,NO_DIRECT_FINANCIAL_RISK_IDENTIFIED,NO_AUTOMATIC_SQL_FOR_admin_registrar_log,EVIDENCE_REQUIRED,false,GROUP_B_ADMIN_BODY_RECONCILIATION,false,Existing artifacts have hashes/config/grants but not full remote pg_get_functiondef body.,Collect full remote pg_get_functiondef with the generated SELECT-only SQL before migration design.,SECURITY_REVIEW_REQUIRED,true,true,"'public', 'auth'",public,postgres.execute; service_role.execute
FINANCIAL,admin_upsert_assinatura,"p_user_id uuid, p_plano text, p_status text, p_data_inicio date, p_data_vencimento date",REMOTE_OVERLOAD_ONLY,"legacy_without_p_user_agent=NONE | modern_with_p_user_agent=src/services/adminService.js:25:const { error } = await supabase.rpc(""admin_upsert_assinatura"", { p_user_id: userId, p_plano: assinatura.plano || ""pendente"", p_status: assinatura.status || ""pendente"", p_data_inicio: assinatura.dataInicio || null, p_data_vencimento: assinatura.dataVencimento || null, p_user_agent: obterUserAgent(), }); if (error) throw error; } export async function bloquearUsuarioAdmin(userId) { const { error } = await supabase.rpc(""admin_bloquear_usuario"", {",AUTHENTICATED_REMOTE_GRANT_PRESENT,LEGACY_OVERLOAD_AUTHENTICATED_GRANT_UNVERIFIED,REMOTE_LEGACY_OVERLOAD_WITH_MODERN_LOCAL_REPLACEMENT,HIGH_RISK_FINANCIAL_FUNCTION,MODERN_USER_AGENT_SIGNATURE_ONLY_AFTER_COMPATIBILITY_APPROVAL,DEPRECATE_REMOTE_OVERLOAD_LATER,false,GROUP_D_FINANCIAL_FUNCTION_RECONCILIATION,false,"No current src RPC caller omits p_user_agent, but remote authenticated grant is present and full remote definition must be captured before removal.",Collect full remote pg_get_functiondef with the generated SELECT-only SQL before migration design.,SECURITY_EQUIVALENT,true,true,public,public,authenticated.execute; postgres.execute; service_role.execute
FINANCIAL,admin_upsert_assinatura,"p_user_id uuid, p_plano text, p_status text, p_data_inicio date, p_data_vencimento date, p_user_agent text",BODY_DIFFERENT,"src/services/adminService.js:25:const { error } = await supabase.rpc(""admin_upsert_assinatura"", { p_user_id: userId, p_plano: assinatura.plano || ""pendente"", p_status: assinatura.status || ""pendente"", p_data_inicio: assinatura.dataInicio || null, p_data_vencimento: assinatura.dataVencimento || null, p_user_agent: obterUserAgent(), }); if (error) throw error; } export async function bloquearUsuarioAdmin(userId) { const { error } = await supabase.rpc(""admin_bloquear_usuario"", {",NOT_REMOTE_OVERLOAD,REMOTE_BODY_SECURITY_UNKNOWN_WITHOUT_FULL_DEFINITION,REMOTE_BODY_MISSING_FOR_SEMANTIC_DIFF,HIGH_RISK_FINANCIAL_FUNCTION,NO_AUTOMATIC_SQL_FOR_admin_upsert_assinatura,EVIDENCE_REQUIRED,false,GROUP_D_FINANCIAL_FUNCTION_RECONCILIATION,false,Existing artifacts have hashes/config/grants but not full remote pg_get_functiondef body.,Collect full remote pg_get_functiondef with the generated SELECT-only SQL before migration design.,SECURITY_REVIEW_REQUIRED,true,true,"'public', 'auth'",public,authenticated.execute; postgres.execute; service_role.execute
AOE,aoe_idempotency_get_or_create,"p_id text, p_actor_id uuid, p_organization_id uuid, p_operation text, p_idempotency_key text, p_request_fingerprint text",BODY_DIFFERENT,"src/aoe/infrastructure/persistence/supabase-idempotency-repository.js:23:const result = await supabase.rpc(""aoe_idempotency_get_or_create"", { p_id: record.key, p_actor_id: record.actorId, p_organization_id: record.organizationId ?? null, p_operation: record.operation, p_idempotency_key: record.key.split("":"").at(-1), p_request_fingerprint: record.requestFingerprint, }); assertNoSupabaseError(result, ""Failed to reserve AOE idempotency key.""); return { created: Boolean(result.data?.created), record: rowToIdempotency(result.data?.record) }; }, async deleteExpired(now) { const result = await supabase.from(""aoe_idempotency_keys"").delete().lt(""expires_at"", now).select(""id""); assertNoSupabaseError(result, ""Failed to delete expired AOE idempotency keys."");",NOT_REMOTE_OVERLOAD,REMOTE_ANON_EXECUTE_PRESENT,REMOTE_BODY_MISSING_FOR_SEMANTIC_DIFF,NO_DIRECT_FINANCIAL_RISK_IDENTIFIED,AOE_BODY_RECONCILIATION_REMAINS_SEPARATE,DEFER_TO_AOE_RECONCILIATION,false,GROUP_E_AOE_SECURITY,false,AOE body difference is separate from confirmed anon grant security issue.,Collect full remote pg_get_functiondef with the generated SELECT-only SQL before migration design.,LOCAL_HARDENING_PREFERRED,true,true,'public',public,anon.execute; authenticated.execute; postgres.execute; service_role.execute
