object_type,object,signature,local_state,remote_state,existing_migration,covered_by_existing_migration,local_drift,remote_pending,new_migration_required,security_risk,dependency,reason,next_action
column,public.alunos.student_user_id,,implemented locally,REMOTE_ABSENT,supabase/migrations/20260730090000_student_identity_contract.sql,YES,NO,YES,NO,CONTRACTUAL,NONE,Covered locally by the existing Student Identity migration; production evidence still shows absent/older state.,Include in future production reconciliation package design; do not create duplicate migration.
comment,public.alunos.user_id,,implemented locally,REMOTE_ABSENT,supabase/migrations/20260730090000_student_identity_contract.sql,YES,NO,YES,NO,CONTRACTUAL,NONE,Covered locally by the existing Student Identity migration; production evidence still shows absent/older state.,Include in future production reconciliation package design; do not create duplicate migration.
comment,public.alunos.student_user_id,,implemented locally,REMOTE_ABSENT,supabase/migrations/20260730090000_student_identity_contract.sql,YES,NO,YES,NO,CONTRACTUAL,NONE,Covered locally by the existing Student Identity migration; production evidence still shows absent/older state.,Include in future production reconciliation package design; do not create duplicate migration.
foreign_key,public.alunos.alunos_student_user_id_fkey,,implemented locally,REMOTE_ABSENT,supabase/migrations/20260730090000_student_identity_contract.sql,YES,NO,YES,NO,CONTRACTUAL,NONE,Covered locally by the existing Student Identity migration; production evidence still shows absent/older state.,Include in future production reconciliation package design; do not create duplicate migration.
unique_index,public.alunos.alunos_student_user_id_uidx,,implemented locally,REMOTE_ABSENT,supabase/migrations/20260730090000_student_identity_contract.sql,YES,NO,YES,NO,CONTRACTUAL,NONE,Covered locally by the existing Student Identity migration; production evidence still shows absent/older state.,Include in future production reconciliation package design; do not create duplicate migration.
index,public.alunos.alunos_student_user_id_idx,,implemented locally,REMOTE_ABSENT,supabase/migrations/20260730090000_student_identity_contract.sql,YES,NO,YES,NO,CONTRACTUAL,NONE,Covered locally by the existing Student Identity migration; production evidence still shows absent/older state.,Include in future production reconciliation package design; do not create duplicate migration.
check,public.perfis.perfis_role_check,,implemented locally,REMOTE_ABSENT,supabase/migrations/20260730090000_student_identity_contract.sql,YES,NO,YES,NO,CONTRACTUAL,NONE,Covered locally by the existing Student Identity migration; production evidence still shows absent/older state.,Include in future production reconciliation package design; do not create duplicate migration.
function,public.vincular_aluno_usuario,"uuid, uuid",implemented locally,REMOTE_ABSENT,supabase/migrations/20260730090000_student_identity_contract.sql,YES,NO,YES,NO,CONTROLLED_BY_RPC_AND_GRANTS,NONE,Covered locally by the existing Student Identity migration; production evidence still shows absent/older state.,Include in future production reconciliation package design; do not create duplicate migration.
function,public.desvincular_aluno_usuario,uuid,implemented locally,REMOTE_ABSENT,supabase/migrations/20260730090000_student_identity_contract.sql,YES,NO,YES,NO,CONTROLLED_BY_RPC_AND_GRANTS,NONE,Covered locally by the existing Student Identity migration; production evidence still shows absent/older state.,Include in future production reconciliation package design; do not create duplicate migration.
function,public.get_my_student_workouts,,implemented locally,REMOTE_ABSENT,supabase/migrations/20260730090000_student_identity_contract.sql,YES,NO,YES,NO,CONTROLLED_BY_RPC_AND_GRANTS,WORKOUT_DELIVERY_LOCAL_COMPLETE,Covered locally by the existing Student Identity migration; production evidence still shows absent/older state.,Include in future production reconciliation package design; do not create duplicate migration.
grant,public.vincular_aluno_usuario EXECUTE,"uuid, uuid",implemented locally,REMOTE_ABSENT,supabase/migrations/20260730090000_student_identity_contract.sql,YES,NO,YES,NO,CONTROLLED_BY_RPC_AND_GRANTS,NONE,Covered locally by the existing Student Identity migration; production evidence still shows absent/older state.,Include in future production reconciliation package design; do not create duplicate migration.
grant,public.desvincular_aluno_usuario EXECUTE,uuid,implemented locally,REMOTE_ABSENT,supabase/migrations/20260730090000_student_identity_contract.sql,YES,NO,YES,NO,CONTROLLED_BY_RPC_AND_GRANTS,NONE,Covered locally by the existing Student Identity migration; production evidence still shows absent/older state.,Include in future production reconciliation package design; do not create duplicate migration.
grant,public.get_my_student_workouts EXECUTE,,implemented locally,REMOTE_ABSENT,supabase/migrations/20260730090000_student_identity_contract.sql,YES,NO,YES,NO,CONTROLLED_BY_RPC_AND_GRANTS,WORKOUT_DELIVERY_LOCAL_COMPLETE,Covered locally by the existing Student Identity migration; production evidence still shows absent/older state.,Include in future production reconciliation package design; do not create duplicate migration.
