table,expected_privileges,migration_privileges,authenticated_revoke_present,decision,note
perfis,select|insert,select|insert,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
alunos,select|insert|update|delete,select|insert|update|delete,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
planos,select|insert|update|delete,select|insert|update|delete,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
assinaturas,select|insert,select|insert,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
pagamentos,select|insert|update|delete,select|insert|update|delete,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
admin_logs,select,select,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
aceites_legais,select|insert,select|insert,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
avaliacoes,select|insert|update|delete,select|insert|update|delete,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
anamneses,select|insert|update|delete,select|insert|update|delete,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
treinos,select|insert|update|delete,select|insert|update|delete,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
treino_dias,select|insert|update|delete,select|insert|update|delete,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
treino_exercicios,select|insert|update|delete,select|insert|update|delete,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
acompanhamento_eventos,select|insert,select|insert,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
workout_templates,select|insert|update|delete,select|insert|update|delete,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
aoe_decisions,select|insert,select|insert,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
aoe_decision_traces,select,select,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
aoe_human_reviews,select|insert|update,select|insert|update,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
aoe_idempotency_keys,select|insert|update|delete,select|insert|update|delete,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
aoe_audit_events,select,select,true,JUSTIFIED_MINIMAL,Matches canonical policy surface.
