priority,category,object,subobject,status,classification,security_impact,financial_impact,recommended_strategy,details,evidence_update
P0,function_grant,set_workout_templates_updated_at,public.execute,REMOTE_ONLY,EXTRA_GRANT_SIGNATURE_REVIEWED,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,"Function grant exists only in remote evidence. CSV lacks function arguments/specific_name, so overload match is partial.",signature-aware CSV received
P0,function,admin_atualizar_perfil,"p_user_id uuid, p_nome text, p_role text, p_tipo_acesso text, p_status text",REMOTE_OVERLOAD_ONLY,LEGACY_FUNCTION_OVERLOAD,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,function,admin_bloquear_usuario,p_user_id uuid,REMOTE_OVERLOAD_ONLY,LEGACY_FUNCTION_OVERLOAD,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,function,admin_liberar_assinante,"p_user_id uuid, p_plano text, p_data_inicio date, p_data_vencimento date",REMOTE_OVERLOAD_ONLY,LEGACY_FUNCTION_OVERLOAD,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,function,admin_liberar_beta,p_user_id uuid,REMOTE_OVERLOAD_ONLY,LEGACY_FUNCTION_OVERLOAD,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,function,admin_upsert_assinatura,"p_user_id uuid, p_plano text, p_status text, p_data_inicio date, p_data_vencimento date",REMOTE_OVERLOAD_ONLY,LEGACY_FUNCTION_OVERLOAD,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aceites_legais,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aceites_legais,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aceites_legais,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,acompanhamento_eventos,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,acompanhamento_eventos,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,acompanhamento_eventos,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,admin_logs,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,admin_logs,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,admin_logs,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,admin_logs,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,alunos,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,alunos,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,alunos,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,anamneses,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,anamneses,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,anamneses,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aoe_audit_events,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aoe_audit_events,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aoe_audit_events,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aoe_decision_traces,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aoe_decision_traces,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aoe_decision_traces,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aoe_decisions,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aoe_decisions,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aoe_decisions,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aoe_human_reviews,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aoe_human_reviews,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aoe_human_reviews,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aoe_idempotency_keys,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aoe_idempotency_keys,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,aoe_idempotency_keys,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,assinaturas,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,assinaturas,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,assinaturas,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,avaliacoes,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,avaliacoes,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,avaliacoes,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,pagamentos,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,pagamentos,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,pagamentos,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,perfis,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,perfis,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,perfis,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,planos,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,planos,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,planos,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,treino_dias,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,treino_dias,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,treino_dias,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,treino_exercicios,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,treino_exercicios,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,treino_exercicios,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,treinos,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,treinos,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,treinos,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,workout_templates,anon.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
