schema,function_name,signature,category,reconciliation_status,source_migration,security_definer,volatility,return_type,search_path,local_exists,remote_exists,local_definition_hash,remote_definition_hash,grant_evidence,recommended_action
public,admin_atualizar_perfil,"p_user_id uuid, p_nome text, p_role text, p_tipo_acesso text, p_status text",ADMIN,REMOTE_OVERLOAD_ONLY,20260716090000_baseline_aruka_v1.sql,true,,,public,false,true,,,authenticated.execute.EQUIVALENT; authenticated.execute.UNVERIFIED; postgres.execute.PLATFORM_MANAGED_EXPECTED; service_role.execute.PLATFORM_MANAGED_EXPECTED,Compare normalized body against production function definition before designing SQL.
public,admin_atualizar_perfil,"p_user_id uuid, p_nome text, p_role text, p_tipo_acesso text, p_status text, p_user_agent text",ADMIN,EQUIVALENT_OR_NOT_IN_PHASE3_DIFF,20260716090000_baseline_aruka_v1.sql,true,VOLATILE,void,"'public', 'auth'",true,true,b7035262d077,,,No Phase 3 divergence detected.
public,admin_bloquear_usuario,p_user_id uuid,ADMIN,REMOTE_OVERLOAD_ONLY,20260716090000_baseline_aruka_v1.sql,true,,,public,false,true,,,authenticated.execute.EQUIVALENT; authenticated.execute.UNVERIFIED; postgres.execute.PLATFORM_MANAGED_EXPECTED; service_role.execute.PLATFORM_MANAGED_EXPECTED,Compare normalized body against production function definition before designing SQL.
public,admin_bloquear_usuario,"p_user_id uuid, p_user_agent text",ADMIN,EQUIVALENT_OR_NOT_IN_PHASE3_DIFF,20260716090000_baseline_aruka_v1.sql,true,VOLATILE,void,"'public', 'auth'",true,true,faa977018969,,,No Phase 3 divergence detected.
public,admin_eh_admin,,ADMIN,EQUIVALENT_OR_NOT_IN_PHASE3_DIFF,20260716090000_baseline_aruka_v1.sql,true,VOLATILE,boolean,'public',true,true,d246820e8e21,,,No Phase 3 divergence detected.
public,admin_liberar_assinante,"p_user_id uuid, p_plano text, p_data_inicio date, p_data_vencimento date",FINANCIAL,REMOTE_OVERLOAD_ONLY,20260716090000_baseline_aruka_v1.sql,true,,,public,false,true,,,authenticated.execute.EQUIVALENT; authenticated.execute.UNVERIFIED; postgres.execute.PLATFORM_MANAGED_EXPECTED; service_role.execute.PLATFORM_MANAGED_EXPECTED,Compare normalized body against production function definition before designing SQL.
public,admin_liberar_assinante,"p_user_id uuid, p_plano text, p_data_inicio date, p_data_vencimento date, p_user_agent text",FINANCIAL,EQUIVALENT_OR_NOT_IN_PHASE3_DIFF,20260716090000_baseline_aruka_v1.sql,true,VOLATILE,void,"'public', 'auth'",true,true,6c65f5bbc264,,,No Phase 3 divergence detected.
public,admin_liberar_beta,p_user_id uuid,FINANCIAL,REMOTE_OVERLOAD_ONLY,20260716090000_baseline_aruka_v1.sql,true,,,public,false,true,,,authenticated.execute.EQUIVALENT; authenticated.execute.UNVERIFIED; postgres.execute.PLATFORM_MANAGED_EXPECTED; service_role.execute.PLATFORM_MANAGED_EXPECTED,Compare normalized body against production function definition before designing SQL.
public,admin_liberar_beta,"p_user_id uuid, p_user_agent text",FINANCIAL,EQUIVALENT_OR_NOT_IN_PHASE3_DIFF,20260716090000_baseline_aruka_v1.sql,true,VOLATILE,void,"'public', 'auth'",true,true,d84130a03131,,,No Phase 3 divergence detected.
public,admin_listar_logs,"p_acao text, p_target_user_id uuid, p_data_inicio date, p_data_fim date, p_busca text",ADMIN,BODY_DIFFERENT,return_type: local_raw=[len 277 hash 33ef26b] remote_raw=[len 277 hash 33ef26b] local_norm=[len 277 hash 8ee55b0b] remote_norm=[len 277 hash 8ee55b0b] local_hash=8ee55b0b remote_hash=8ee55b0b; security_definer: local_raw=true remote_raw=true local_norm=true remote_norm=true local_hash=7c9e9fe5 remote_hash=7c9e9fe5; volatility: local_raw=VOLATILE remote_raw=v local_norm=VOLATILE remote_norm=VOLATILE local_hash=51192625 remote_hash=51192625; definition: local_raw=[len 2217 hash 47c274e1] remote_raw=[len 2597 hash b99c082e] local_norm=[len 1924 hash 3ec521db] remote_norm=[len 2197 hash 9275210f] local_hash=3ec521db remote_hash=9275210f,true,VOLATILE,"TABLE(id uuid, admin_user_id uuid, admin_email text, admin_nome text, target_user_id uuid, target_email text, target_nome text, acao text, entidade text, entidade_id uuid, dados_anteriores jsonb, dados_novos jsonb, ip text, user_agent text, created_at timestamp with time zone)","'public', 'auth'",true,true,b2bfe2e35748,9275210f,authenticated.execute.EQUIVALENT; postgres.execute.PLATFORM_MANAGED_EXPECTED; service_role.execute.PLATFORM_MANAGED_EXPECTED,Compare normalized body against production function definition before designing SQL.
public,admin_listar_usuarios,,ADMIN,BODY_DIFFERENT,return_type: local_raw=[len 208 hash 80b7f47b] remote_raw=[len 208 hash 80b7f47b] local_norm=[len 208 hash 201d791b] remote_norm=[len 208 hash 201d791b] local_hash=201d791b remote_hash=201d791b; security_definer: local_raw=true remote_raw=true local_norm=true remote_norm=true local_hash=7c9e9fe5 remote_hash=7c9e9fe5; volatility: local_raw=VOLATILE remote_raw=v local_norm=VOLATILE remote_norm=VOLATILE local_hash=51192625 remote_hash=51192625; definition: local_raw=[len 1267 hash bd75ea6d] remote_raw=[len 1393 hash 56b4a32d] local_norm=[len 1069 hash bf16df8] remote_norm=[len 1163 hash eafadef8] local_hash=bf16df8 remote_hash=eafadef8,true,VOLATILE,"TABLE(user_id uuid, email text, created_at timestamp with time zone, nome text, role text, tipo_acesso text, status text, assinatura_plano text, assinatura_status text, data_inicio date, data_vencimento date)","'public', 'auth'",true,true,91f0b00cb51c,eafadef8,authenticated.execute.EQUIVALENT; postgres.execute.PLATFORM_MANAGED_EXPECTED; service_role.execute.PLATFORM_MANAGED_EXPECTED,Compare normalized body against production function definition before designing SQL.
public,admin_registrar_log,"p_target_user_id uuid, p_acao text, p_entidade text, p_entidade_id uuid, p_dados_anteriores jsonb, p_dados_novos jsonb, p_user_agent text",ADMIN,BODY_DIFFERENT,return_type: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; security_definer: local_raw=true remote_raw=true local_norm=true remote_norm=true local_hash=7c9e9fe5 remote_hash=7c9e9fe5; volatility: local_raw=VOLATILE remote_raw=v local_norm=VOLATILE remote_norm=VOLATILE local_hash=51192625 remote_hash=51192625; definition: local_raw=[len 894 hash 53a972a5] remote_raw=[len 1179 hash ac3b769d] local_norm=[len 698 hash 87baeeed] remote_norm=[len 911 hash 35b86b07] local_hash=87baeeed remote_hash=35b86b07,true,VOLATILE,uuid,"'public', 'auth'",true,true,342a071d3517,35b86b07,postgres.execute.PLATFORM_MANAGED_EXPECTED; service_role.execute.PLATFORM_MANAGED_EXPECTED,Compare normalized body against production function definition before designing SQL.
