category,function_name,signature,local_state,remote_state,divergence,body_state,security_state,grant_state,dependency_state,risk,local_raw_hash,remote_raw_hash,local_normalized_hash,remote_normalized_hash,local_security_definer,remote_security_definer,local_search_path,remote_search_path,local_volatility,remote_volatility,local_grants,remote_grants,recommended_action,evidence,migration_group,blocking_reason,classification,decision
ADMIN,admin_atualizar_perfil,"p_user_id uuid, p_nome text, p_role text, p_tipo_acesso text, p_status text",absent,present,REMOTE_OVERLOAD_ONLY,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE,LOCAL_SRC_CALLER; SQL_REFERENCE; NO_DOC_EXTERNAL_CALLER; EXTERNAL_CONSUMER_UNKNOWN,HIGH_COMPATIBILITY,,6c87cd49ba6f,,f9cfc8c87061,,true,,"[""search_path=public, auth""]",,VOLATILE,,postgres.execute; service_role.execute,Do not drop overload; verify external consumers before deprecation migration.,REMOTE_PHASE31_CSV_FULL_DEFINITION,GROUP_B_ADMIN_BODY_RECONCILIATION,External consumer absence is not proven by local caller search.,REMOTE_OVERLOAD_ONLY,EXTERNAL_CONSUMER_REVIEW_REQUIRED
ADMIN,admin_atualizar_perfil,"p_user_id uuid, p_nome text, p_role text, p_tipo_acesso text, p_status text, p_user_agent text",present,absent,LOCAL_OVERLOAD_ONLY,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE,LOCAL_SRC_CALLER; SQL_REFERENCE; NO_DOC_EXTERNAL_CALLER; EXTERNAL_CONSUMER_UNKNOWN,MEDIUM,5226f5b6bcfe,,c5cba81f0327,,true,,"'public', 'auth'",,VOLATILE,,authenticated.execute; postgres.execute; service_role.execute,,No migration in Phase 3.2.,LOCAL_CATALOG_ONLY,GROUP_B_ADMIN_BODY_RECONCILIATION,,LOCAL_OVERLOAD_ONLY,NO_FUNCTION_MIGRATION_REQUIRED
ADMIN,admin_bloquear_usuario,p_user_id uuid,absent,present,REMOTE_OVERLOAD_ONLY,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE,LOCAL_SRC_CALLER; SQL_REFERENCE; NO_DOC_EXTERNAL_CALLER; EXTERNAL_CONSUMER_UNKNOWN,HIGH_COMPATIBILITY,,cab7f633b662,,72be730ffc2e,,true,,"[""search_path=public, auth""]",,VOLATILE,,postgres.execute; service_role.execute,Do not drop overload; verify external consumers before deprecation migration.,REMOTE_PHASE31_CSV_FULL_DEFINITION,GROUP_B_ADMIN_BODY_RECONCILIATION,External consumer absence is not proven by local caller search.,REMOTE_OVERLOAD_ONLY,EXTERNAL_CONSUMER_REVIEW_REQUIRED
ADMIN,admin_bloquear_usuario,"p_user_id uuid, p_user_agent text",present,absent,LOCAL_OVERLOAD_ONLY,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE,LOCAL_SRC_CALLER; SQL_REFERENCE; NO_DOC_EXTERNAL_CALLER; EXTERNAL_CONSUMER_UNKNOWN,MEDIUM,ce237433af64,,98a55f6c0dc0,,true,,"'public', 'auth'",,VOLATILE,,authenticated.execute; postgres.execute; service_role.execute,,No migration in Phase 3.2.,LOCAL_CATALOG_ONLY,GROUP_B_ADMIN_BODY_RECONCILIATION,,LOCAL_OVERLOAD_ONLY,NO_FUNCTION_MIGRATION_REQUIRED
FINANCIAL,admin_liberar_assinante,"p_user_id uuid, p_plano text, p_data_inicio date, p_data_vencimento date",absent,present,REMOTE_OVERLOAD_ONLY,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE,LOCAL_SRC_CALLER; SQL_REFERENCE; NO_DOC_EXTERNAL_CALLER; EXTERNAL_CONSUMER_UNKNOWN,P0_FINANCIAL,,bf0acbe92ba9,,4a161a7a7be2,,true,,"[""search_path=public, auth""]",,VOLATILE,,postgres.execute; service_role.execute,Do not drop overload; verify external consumers before deprecation migration.,REMOTE_PHASE31_CSV_FULL_DEFINITION,GROUP_D_FINANCIAL_FUNCTION_RECONCILIATION,External consumer absence is not proven by local caller search.,REMOTE_OVERLOAD_ONLY,EXTERNAL_CONSUMER_REVIEW_REQUIRED
FINANCIAL,admin_liberar_assinante,"p_user_id uuid, p_plano text, p_data_inicio date, p_data_vencimento date, p_user_agent text",present,absent,LOCAL_OVERLOAD_ONLY,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE,LOCAL_SRC_CALLER; SQL_REFERENCE; NO_DOC_EXTERNAL_CALLER; EXTERNAL_CONSUMER_UNKNOWN,P0_FINANCIAL,95691ed73407,,058461f2d5c7,,true,,"'public', 'auth'",,VOLATILE,,authenticated.execute; postgres.execute; service_role.execute,,No migration in Phase 3.2.,LOCAL_CATALOG_ONLY,GROUP_D_FINANCIAL_FUNCTION_RECONCILIATION,,LOCAL_OVERLOAD_ONLY,NO_FUNCTION_MIGRATION_REQUIRED
FINANCIAL,admin_liberar_beta,p_user_id uuid,absent,present,REMOTE_OVERLOAD_ONLY,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE,LOCAL_SRC_CALLER; SQL_REFERENCE; NO_DOC_EXTERNAL_CALLER; EXTERNAL_CONSUMER_UNKNOWN,P0_FINANCIAL,,b975f80d1474,,4db94c886890,,true,,"[""search_path=public, auth""]",,VOLATILE,,postgres.execute; service_role.execute,Do not drop overload; verify external consumers before deprecation migration.,REMOTE_PHASE31_CSV_FULL_DEFINITION,GROUP_D_FINANCIAL_FUNCTION_RECONCILIATION,External consumer absence is not proven by local caller search.,REMOTE_OVERLOAD_ONLY,EXTERNAL_CONSUMER_REVIEW_REQUIRED
FINANCIAL,admin_liberar_beta,"p_user_id uuid, p_user_agent text",present,absent,LOCAL_OVERLOAD_ONLY,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE,LOCAL_SRC_CALLER; SQL_REFERENCE; NO_DOC_EXTERNAL_CALLER; EXTERNAL_CONSUMER_UNKNOWN,P0_FINANCIAL,f9db2b00f731,,f8306d2f188f,,true,,"'public', 'auth'",,VOLATILE,,authenticated.execute; postgres.execute; service_role.execute,,No migration in Phase 3.2.,LOCAL_CATALOG_ONLY,GROUP_D_FINANCIAL_FUNCTION_RECONCILIATION,,LOCAL_OVERLOAD_ONLY,NO_FUNCTION_MIGRATION_REQUIRED
ADMIN,admin_listar_logs,"p_acao text, p_target_user_id uuid, p_data_inicio date, p_data_fim date, p_busca text",present,present,PRESENT_BOTH,BODY_DIFFERENT_CONFIRMED,SECURITY_CONFIGURATION_DIFFERENT,GRANT_EQUIVALENT,LOCAL_SRC_CALLER; SQL_REFERENCE; NO_DOC_EXTERNAL_CALLER; NO_EXTERNAL_CONSUMER_EVIDENCE,HIGH_BUSINESS_LOGIC,db227499f219,071f0bdbbf3b,d0a6c5613747,eba1f8a1e7fd,true,true,"'public', 'auth'","[""search_path=public, auth""]",VOLATILE,VOLATILE,authenticated.execute; postgres.execute; service_role.execute,authenticated.execute; postgres.execute; service_role.execute,Compare semantics with product/security owner before body replacement.,REMOTE_PHASE31_CSV_FULL_DEFINITION,GROUP_B_ADMIN_BODY_RECONCILIATION,Body differs materially and canonical direction is not approved.,BODY_DIFFERENT_CONFIRMED,MANUAL_PRODUCT_DECISION_REQUIRED
ADMIN,admin_listar_usuarios,,present,present,PRESENT_BOTH,BODY_DIFFERENT_CONFIRMED,SECURITY_CONFIGURATION_DIFFERENT,GRANT_EQUIVALENT,LOCAL_SRC_CALLER; SQL_REFERENCE; NO_DOC_EXTERNAL_CALLER; NO_EXTERNAL_CONSUMER_EVIDENCE,HIGH_BUSINESS_LOGIC,bd2a2b31328c,3ac48ff937c4,034e6952c3cc,d09645a76b32,true,true,"'public', 'auth'","[""search_path=public, auth""]",VOLATILE,VOLATILE,authenticated.execute; postgres.execute; service_role.execute,authenticated.execute; postgres.execute; service_role.execute,Compare semantics with product/security owner before body replacement.,REMOTE_PHASE31_CSV_FULL_DEFINITION,GROUP_B_ADMIN_BODY_RECONCILIATION,Body differs materially and canonical direction is not approved.,BODY_DIFFERENT_CONFIRMED,MANUAL_PRODUCT_DECISION_REQUIRED
