category,object,previous_status,current_local_state,known_remote_state,resolved_by_phase,current_status,residual_risk,next_action
SECURITY_POLICIES_GRANTS,public policies and table/function grants hardened by 20260731190000,REMOTE_MORE_PERMISSIVE/REMOTE_ONLY grants,LOCAL_RECONCILIATION_IMPLEMENTED,REMOTE_RECONCILIATION_PENDING,20260731190000,RESOLVED_BY_PHASE1,SECURITY,Release/apply approved Phase 1 migration package before declaring production reconciled.
NULLABILITY,alunos.created_at,NULLABILITY_DIFFERENT,NOT NULL locally,REMOTE_RECONCILIATION_PENDING,20260801143335,RESOLVED_BY_PHASE2,DATA_CONTRACT,Keep as local implemented until production reconciliation is applied.
NULLABILITY,alunos.user_id,NULLABILITY_DIFFERENT,NOT NULL locally,REMOTE_RECONCILIATION_PENDING,20260801143335,RESOLVED_BY_PHASE2,DATA_CONTRACT,Keep as local implemented until production reconciliation is applied.
NULLABILITY,alunos.whatsapp,NULLABILITY_DIFFERENT,NOT NULL locally,REMOTE_RECONCILIATION_PENDING,20260801143335,RESOLVED_BY_PHASE2,DATA_CONTRACT,Keep as local implemented until production reconciliation is applied.
NULLABILITY,alunos.acompanhamento_motivo,NULLABILITY_DIFFERENT,nullable preserved,remote not a blocker,APPROVED_PRODUCT_DECISION,NULLABILITY_PRESERVED_BY_APPROVED_PRODUCT_DECISION,LOW,Do not reopen as blocker without product decision change.
NULLABILITY,alunos.observacoes,NULLABILITY_DIFFERENT,nullable preserved,remote not a blocker,APPROVED_PRODUCT_DECISION,NULLABILITY_PRESERVED_BY_APPROVED_PRODUCT_DECISION,LOW,Do not reopen as blocker without product decision change.
NULLABILITY,alunos.inicio,NULLABILITY_DIFFERENT,nullable preserved,remote not a blocker,APPROVED_PRODUCT_DECISION,NULLABILITY_PRESERVED_BY_APPROVED_PRODUCT_DECISION,LOW,Do not reopen as blocker without product decision change.
NULLABILITY,alunos.pagamento_recebido,NULLABILITY_DIFFERENT,nullable preserved,remote not a blocker,APPROVED_PRODUCT_DECISION,NULLABILITY_PRESERVED_BY_APPROVED_PRODUCT_DECISION,LOW,Do not reopen as blocker without product decision change.
NULLABILITY,alunos.plano,NULLABILITY_DIFFERENT,nullable preserved,remote not a blocker,APPROVED_PRODUCT_DECISION,NULLABILITY_PRESERVED_BY_APPROVED_PRODUCT_DECISION,LOW,Do not reopen as blocker without product decision change.
NULLABILITY,alunos.status,NULLABILITY_DIFFERENT,nullable preserved,remote not a blocker,APPROVED_PRODUCT_DECISION,NULLABILITY_PRESERVED_BY_APPROVED_PRODUCT_DECISION,LOW,Do not reopen as blocker without product decision change.
NULLABILITY,alunos.valor,NULLABILITY_DIFFERENT,nullable preserved,remote not a blocker,APPROVED_PRODUCT_DECISION,NULLABILITY_PRESERVED_BY_APPROVED_PRODUCT_DECISION,LOW,Do not reopen as blocker without product decision change.
CONSTRAINTS,perfis_role_check,MATERIAL_DIFFERENCE,student role allowed locally,remote absent,20260730090000,DEFERRED_TO_STUDENT_IDENTITY,FEATURE_CONTRACT,Deploy student identity when prerequisites are approved.
CONSTRAINTS,treinos_lifecycle_dates_check,MATERIAL_DIFFERENCE,workout lifecycle locally implemented,remote differs,20260728030000,DEFERRED_TO_WORKOUT_DELIVERY,FEATURE_CONTRACT,Reconcile workout delivery backend by object.
CONSTRAINTS,treino_eventos_metadata_object_check,MATERIAL_DIFFERENCE,semantic object check equivalent,remote evidence not material,AUDITOR_NORMALIZATION,SEMANTIC_FALSE_POSITIVE,NONE,Keep normalized out of blockers.
CONSTRAINTS,treinos_template_origin_snapshot_object_check,MATERIAL_DIFFERENCE,semantic object check equivalent,remote evidence not material,AUDITOR_NORMALIZATION,SEMANTIC_FALSE_POSITIVE,NONE,Keep normalized out of blockers.
