domain,object_type,object,local_state,remote_state,existing_migration,covered_by_migration,classification,local_drift,remote_pending,new_migration_required,reason,next_action
WORKOUT_DELIVERY,table,public.treino_eventos,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treinos.lifecycle_status text default 'draft' not null,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treinos.template_origin_id text,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treinos.template_origin_type text,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treinos.template_origin_name text,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treinos.template_origin_snapshot jsonb,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treinos.applied_by uuid,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treinos.applied_at timestamptz,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treinos.delivered_by uuid,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treinos.delivered_at timestamptz,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treinos.completed_at timestamptz,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treinos.archived_at timestamptz,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treinos.data_fim date,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treinos.data_revisao date,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treinos.application_idempotency_key text,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treino_eventos.id uuid default gen_random_uuid() not null,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treino_eventos.treino_id uuid not null,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treino_eventos.user_id uuid not null,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treino_eventos.aluno_id uuid not null,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treino_eventos.event_type text not null,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treino_eventos.from_status text,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
