category,schema,object,subobject,local_state,remote_state,status,severity,source_migration,details,recommended_action
column,public,aceites_legais,aceito_em,present,present,EQUIVALENT,info,data_type: local_raw=timestamp with time zone remote_raw=timestamp with time zone local_norm=timestamptz remote_norm=timestamptz local_hash=7acf37c7 remote_hash=7acf37c7; udt_name: local_raw=timestamptz remote_raw=timestamptz local_norm=timestamptz remote_norm=timestamptz local_hash=7acf37c7 remote_hash=7acf37c7; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=7 remote_raw=7 local_norm=7 remote_norm=7 local_hash=2b5dc remote_hash=2b5dc,No action.,20260716090000_baseline_aruka_v1.sql
column,public,aceites_legais,created_at,present,present,EQUIVALENT,info,data_type: local_raw=timestamp with time zone remote_raw=timestamp with time zone local_norm=timestamptz remote_norm=timestamptz local_hash=7acf37c7 remote_hash=7acf37c7; udt_name: local_raw=timestamptz remote_raw=timestamptz local_norm=timestamptz remote_norm=timestamptz local_hash=7acf37c7 remote_hash=7acf37c7; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw=now() remote_raw=now() local_norm=now() remote_norm=now() local_hash=1004652a remote_hash=1004652a; ordinal_position: local_raw=10 remote_raw=10 local_norm=10 remote_norm=10 local_hash=5970c6 remote_hash=5970c6,No action.,20260716090000_baseline_aruka_v1.sql
column,public,aceites_legais,id,present,present,EQUIVALENT,info,data_type: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; udt_name: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw=gen_random_uuid() remote_raw=gen_random_uuid() local_norm=gen_random_uuid() remote_norm=gen_random_uuid() local_hash=e283166 remote_hash=e283166; ordinal_position: local_raw=1 remote_raw=1 local_norm=1 remote_norm=1 local_hash=2b5d6 remote_hash=2b5d6,No action.,20260716090000_baseline_aruka_v1.sql
column,public,aceites_legais,ip,present,present,EQUIVALENT,info,data_type: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; udt_name: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=8 remote_raw=8 local_norm=8 remote_norm=8 local_hash=2b5dd remote_hash=2b5dd,No action.,20260716090000_baseline_aruka_v1.sql
column,public,aceites_legais,politica_aceita,present,present,EQUIVALENT,info,data_type: local_raw=boolean remote_raw=boolean local_norm=bool remote_norm=bool local_hash=7c94b391 remote_hash=7c94b391; udt_name: local_raw=bool remote_raw=bool local_norm=bool remote_norm=bool local_hash=7c94b391 remote_hash=7c94b391; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw=false remote_raw=false local_norm=false remote_norm=false local_hash=f6bcef0 remote_hash=f6bcef0; ordinal_position: local_raw=5 remote_raw=5 local_norm=5 remote_norm=5 local_hash=2b5da remote_hash=2b5da,No action.,20260716090000_baseline_aruka_v1.sql
column,public,aceites_legais,politica_versao,present,present,EQUIVALENT,info,data_type: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; udt_name: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=3 remote_raw=3 local_norm=3 remote_norm=3 local_hash=2b5d8 remote_hash=2b5d8,No action.,20260716090000_baseline_aruka_v1.sql
column,public,aceites_legais,termos_aceitos,present,present,EQUIVALENT,info,data_type: local_raw=boolean remote_raw=boolean local_norm=bool remote_norm=bool local_hash=7c94b391 remote_hash=7c94b391; udt_name: local_raw=bool remote_raw=bool local_norm=bool remote_norm=bool local_hash=7c94b391 remote_hash=7c94b391; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw=false remote_raw=false local_norm=false remote_norm=false local_hash=f6bcef0 remote_hash=f6bcef0; ordinal_position: local_raw=6 remote_raw=6 local_norm=6 remote_norm=6 local_hash=2b5db remote_hash=2b5db,No action.,20260716090000_baseline_aruka_v1.sql
column,public,aceites_legais,termos_versao,present,present,EQUIVALENT,info,data_type: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; udt_name: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=4 remote_raw=4 local_norm=4 remote_norm=4 local_hash=2b5d9 remote_hash=2b5d9,No action.,20260716090000_baseline_aruka_v1.sql
column,public,aceites_legais,user_agent,present,present,EQUIVALENT,info,data_type: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; udt_name: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=9 remote_raw=9 local_norm=9 remote_norm=9 local_hash=2b5de remote_hash=2b5de,No action.,20260716090000_baseline_aruka_v1.sql
column,public,aceites_legais,user_id,present,present,EQUIVALENT,info,data_type: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; udt_name: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=2 remote_raw=2 local_norm=2 remote_norm=2 local_hash=2b5d7 remote_hash=2b5d7,No action.,20260716090000_baseline_aruka_v1.sql
