table,column,local_nullable,remote_nullable,remote_total_rows,remote_null_rows,local_default,remote_default,application_contract,financial_risk,decision,included_in_phase2,future_action,rollback_concept,evidence
public.alunos,acompanhamento_motivo,YES,NO,26,0,,''::text,"Optional lifecycle/retention reason; app maps absent value to empty string only when acompanhamento fields exist.",YES,NULLABLE_SHOULD_BE_PRESERVED,false,"Preserve nullable locally; product/finance may later decide state-dependent requirement.","No SQL required; if changed later, rollback would drop NOT NULL and restore nullable optional reason.","nullability-profile-review.json; alunosService rowParaAluno/alunoParaPayload; baseline-src/02-tables.sql"
public.alunos,created_at,NO,YES,26,0,now(),now(),"Audit timestamp generated by database default; application does not provide it.",NO,NOT_NULL_REQUIRED_BY_CONTRACT,true,"MANUAL_PRODUCT_DECISION=APPROVED; included in Phase 2 SET NOT NULL; no default change.","ALTER TABLE public.alunos ALTER COLUMN created_at DROP NOT NULL.","nullability-profile-review.json; baseline-src/02-tables.sql; manual product decision"
public.alunos,inicio,NO,YES,26,0,,,"Required by current create/edit form for plan lifecycle and due-date calculation, but financial/lifecycle contract hardening is deferred.",YES,NULLABLE_PRESERVED_BY_PRODUCT_DECISION,false,"MANUAL_FINANCIAL_CONTRACT_DECISION_COMPLETED; FUTURE_CONTRACT_HARDENING_OPTIONAL.","No Phase 2 SQL; nullable remote behavior preserved by product decision.","useAlunosPage salvarAluno; handleInicio; calcularDatas; nullability-profile-review.json"
public.alunos,observacoes,NO,YES,26,0,''::text,,"Free-form notes are optional; service normalizes missing notes to empty string.",NO,NULLABLE_SHOULD_BE_PRESERVED,false,"Preserve remote nullable semantics or decide separately whether empty-string storage is desired.","No SQL required; if changed later, rollback would DROP NOT NULL and possibly DROP DEFAULT.","alunosService rowParaAluno/alunoParaPayload; AlunosList optional display"
public.alunos,pagamento_recebido,NO,YES,26,0,false,false,"Boolean financial state; app coerces absent value to false, but null versus false remains a future financial contract option.",YES,NULLABLE_PRESERVED_BY_PRODUCT_DECISION,false,"MANUAL_FINANCIAL_CONTRACT_DECISION_COMPLETED; FUTURE_CONTRACT_HARDENING_OPTIONAL.","No Phase 2 SQL; nullable remote behavior preserved by product decision.","alunosService Boolean(aluno.pagamentoRecebido); nullability-profile-review.json"
public.alunos,plano,NO,YES,26,0,,,"Current form uses plan for billing/due dates; future contract may formalize required plan.",YES,NULLABLE_PRESERVED_BY_PRODUCT_DECISION,false,"MANUAL_FINANCIAL_CONTRACT_DECISION_COMPLETED; FUTURE_CONTRACT_HARDENING_OPTIONAL.","No Phase 2 SQL; nullable remote behavior preserved by product decision.","useAlunosPage requires plano; handlePlano computes valor/vencimento; nullability-profile-review.json"
public.alunos,status,NO,YES,26,0,'Ativo'::text,'Ativo'::text,"Lifecycle/status state defaulted to Ativo and recalculated on save; formal lifecycle hardening is deferred.",YES,NULLABLE_PRESERVED_BY_PRODUCT_DECISION,false,"MANUAL_FINANCIAL_CONTRACT_DECISION_COMPLETED; FUTURE_CONTRACT_HARDENING_OPTIONAL.","No Phase 2 SQL; nullable remote behavior preserved by product decision.","useAlunosPage calcularStatus; data/statusHelpers; nullability-profile-review.json"
public.alunos,user_id,NO,YES,26,0,,,"Ownership required for RLS, queries, inserts and updates; service always derives from logged user.",NO,NOT_NULL_REQUIRED_BY_CONTRACT,true,"MANUAL_PRODUCT_DECISION=APPROVED; included in Phase 2 SET NOT NULL; no default change.","ALTER TABLE public.alunos ALTER COLUMN user_id DROP NOT NULL.","alunosService buscarUsuarioLogado/alunoParaPayload; RLS policies; nullability-profile-review.json; manual product decision"
public.alunos,valor,NO,YES,26,0,0,,"Financial amount derived from selected plan; zero may be legitimate, null has distinct financial meaning.",YES,NULLABLE_PRESERVED_BY_PRODUCT_DECISION,false,"MANUAL_FINANCIAL_CONTRACT_DECISION_COMPLETED; FUTURE_CONTRACT_HARDENING_OPTIONAL.","No Phase 2 SQL; nullable remote behavior preserved by product decision.","handlePlano assigns plano.valor; alunoParaPayload Number(aluno.valor || 0); nullability-profile-review.json"
public.alunos,whatsapp,NO,YES,26,0,,,"Current form requires WhatsApp and table/actions depend on contactability.",NO,NOT_NULL_REQUIRED_BY_CONTRACT,true,"MANUAL_PRODUCT_DECISION=APPROVED; included in Phase 2 SET NOT NULL; no default change.","ALTER TABLE public.alunos ALTER COLUMN whatsapp DROP NOT NULL.","useAlunosPage validates whatsapp; AlunosTable disables WhatsApp action when missing; nullability-profile-review.json; manual product decision"
