id,severity,module,route,component,category,user_impact,evidence,root_cause_candidate,recommended_fix,effort,dependencies
F-001,P1_HIGH,cross-module,multiple,MobileBottomNavigation AlunosList AvaliacoesList FinanceiroList TreinosList,text,Visible mojibake makes navigation and instructions look broken and reduces user trust,"src/components/MobileBottomNavigation.jsx contains AvaliaÃ§Ãµes and PolÃ­tica; src/features/avaliacoes/components/AvaliacoesList.jsx:70 shows Voce/avaliacoes; src/features/financeiro/components/FinanceiroList.jsx contains disponÃ­veis/histÃ³rico","Mixed encoding or copied text saved with wrong charset plus unaccented fallback text","Normalize files to UTF-8 and correct visible Portuguese strings, then add a text scan guard for mojibake markers",M,none
F-002,P1_HIGH,app-shell,multiple,App and lazy module modals,loading,Route transitions and modal opens can appear as a blank UI with no progress feedback,"src/App.jsx:29 uses Suspense fallback={null}; AvaliacoesList uses lazy modal Suspense fallback={null} at lines 288 and 300","Lazy loading implemented without visual fallback","Use existing LoadingState or a compact route/modal skeleton as fallback with aria-live/aria-busy",S,none
F-003,P1_HIGH,mobile,multiple,page containers and grids,responsiveness,Core mobile users may hit horizontal overflow or cramped controls on 320-414 px screens,"TreinosList.jsx:374 AlunosList.jsx:613 AvaliacoesList.jsx:317 and financeiroListStyles.js:17 keep desktop marginLeft 260px in inline styles; dense grids appear in TreinoModal.jsx:907 and filters","Desktop layout assumptions live in inline styles and are patched later by CSS selectors","Create route-level mobile container rules and verify 320/360/375/390/414 screenshots for core routes",M,local QA auth data
F-004,P2_MEDIUM,routing,unknown,App,route-recovery,Invalid URLs do not get a clear recovery path,"App.jsx route list ends without a '*' Route","No not-found route implemented","Add authenticated/public-aware not-found route with dashboard/login recovery",S,none
F-005,P2_MEDIUM,workout-delivery,/treinos,WorkoutLifecycleActionItems and useTreinosPage,feedback,Delivery lifecycle actions have loading labels but duplicate actions from different surfaces can still feel fragmented,"WorkoutLifecycleActionItems disables per action; useTreinosPage has entregandoTreinoId and alterandoEstadoTreinoId; confirmation lives in TreinosList","Lifecycle state split between card/detail/confirmation rather than one action state model","Centralize lifecycle pending state per treino/action and expose consistent disabled labels in card detail and modal",M,none
F-006,P2_MEDIUM,financeiro,/financeiro,useFinanceiroPage,destructive-actions,Payment undo no-renew and reactivation are high-impact and need uniformly explicit confirmations and recovery copy,"useFinanceiroPage has desfazerPagamento at line 472 marcarComoNaoRenovado at line 501 and reativarAluno at line 591; feedback differs by flow","Financial flows evolved independently with mixed confirmation depth","Audit each financial mutation for confirm title description disabled state success error and undo expectations",M,none
F-007,P2_MEDIUM,modals,multiple,TreinoModal AlunoModal custom modals,accessibility,Keyboard and screen-reader behavior is less predictable than shared AccessibleModal,"AccessibleModal implements focus trap and Escape; TreinoModal and AlunoModal implement custom overlay/dialog logic","Multiple modal primitives with uneven accessibility behavior","Move custom editors toward AccessibleModal parity or document required focus-trap/escape/restore-focus contract",M,none
F-008,P2_MEDIUM,cross-module,multiple,empty states,empty-state,Some empty states tell the user nothing beyond absence and miss contextual CTA or filter reset,"Alunos mobile empty state says 'Nenhum aluno encontrado.'; Treinos has richer empty CTA; Avaliacoes has dedicated empty component","Empty states implemented module by module without shared criteria","Standardize empty-state variants for no-data no-results contextual-student and error-empty",S,none
F-009,P2_MEDIUM,cross-module,multiple,hooks and services,error-feedback,Errors are logged but user copy is often generic so users may not know what to fix,"Multiple catch blocks log console.error and show 'Tente novamente' variants in useTreinosPage useFinanceiroPage useAvaliacoesPage","Technical errors are collapsed into broad toast copy","Map common errors to actionable messages and keep sanitized technical detail for diagnostics only",M,none
F-010,P3_LOW,student-identity,/alunos /treinos /avaliacoes /financeiro,context banners,navigation,Contextual student navigation is useful but inconsistent by module,"Treinos context includes return/clear/create; Avaliacoes has richer actions; Financeiro only shows a short contextual sentence","Context banners were added per module with different UX contracts","Create a shared contextual student banner pattern with return clear primary action and selected student name",S,none
