domain,object,historical_status,resolved_by,current_local_status,remote_status,active_or_resolved,risk,next_action
SECURITY_POLICIES_GRANTS,public policies and table/function grants hardened by 20260731190000,REMOTE_MORE_PERMISSIVE/REMOTE_ONLY grants,20260731190000,LOCAL_RECONCILIATION_IMPLEMENTED,REMOTE_RECONCILIATION_PENDING,RESOLVED_BY_PHASE1,SECURITY,Release/apply approved Phase 1 migration package before declaring production reconciled.
NULLABILITY,alunos.created_at,NULLABILITY_DIFFERENT,20260801143335,NOT NULL locally,REMOTE_RECONCILIATION_PENDING,RESOLVED_BY_PHASE2,DATA_CONTRACT,Keep as local implemented until production reconciliation is applied.
NULLABILITY,alunos.user_id,NULLABILITY_DIFFERENT,20260801143335,NOT NULL locally,REMOTE_RECONCILIATION_PENDING,RESOLVED_BY_PHASE2,DATA_CONTRACT,Keep as local implemented until production reconciliation is applied.
NULLABILITY,alunos.whatsapp,NULLABILITY_DIFFERENT,20260801143335,NOT NULL locally,REMOTE_RECONCILIATION_PENDING,RESOLVED_BY_PHASE2,DATA_CONTRACT,Keep as local implemented until production reconciliation is applied.
NULLABILITY,alunos.acompanhamento_motivo,NULLABILITY_DIFFERENT,APPROVED_PRODUCT_DECISION,nullable preserved,remote not a blocker,NULLABILITY_PRESERVED_BY_APPROVED_PRODUCT_DECISION,LOW,Do not reopen as blocker without product decision change.
NULLABILITY,alunos.observacoes,NULLABILITY_DIFFERENT,APPROVED_PRODUCT_DECISION,nullable preserved,remote not a blocker,NULLABILITY_PRESERVED_BY_APPROVED_PRODUCT_DECISION,LOW,Do not reopen as blocker without product decision change.
NULLABILITY,alunos.inicio,NULLABILITY_DIFFERENT,APPROVED_PRODUCT_DECISION,nullable preserved,remote not a blocker,NULLABILITY_PRESERVED_BY_APPROVED_PRODUCT_DECISION,LOW,Do not reopen as blocker without product decision change.
NULLABILITY,alunos.pagamento_recebido,NULLABILITY_DIFFERENT,APPROVED_PRODUCT_DECISION,nullable preserved,remote not a blocker,NULLABILITY_PRESERVED_BY_APPROVED_PRODUCT_DECISION,LOW,Do not reopen as blocker without product decision change.
NULLABILITY,alunos.plano,NULLABILITY_DIFFERENT,APPROVED_PRODUCT_DECISION,nullable preserved,remote not a blocker,NULLABILITY_PRESERVED_BY_APPROVED_PRODUCT_DECISION,LOW,Do not reopen as blocker without product decision change.
NULLABILITY,alunos.status,NULLABILITY_DIFFERENT,APPROVED_PRODUCT_DECISION,nullable preserved,remote not a blocker,NULLABILITY_PRESERVED_BY_APPROVED_PRODUCT_DECISION,LOW,Do not reopen as blocker without product decision change.
NULLABILITY,alunos.valor,NULLABILITY_DIFFERENT,APPROVED_PRODUCT_DECISION,nullable preserved,remote not a blocker,NULLABILITY_PRESERVED_BY_APPROVED_PRODUCT_DECISION,LOW,Do not reopen as blocker without product decision change.
CONSTRAINTS,perfis_role_check,MATERIAL_DIFFERENCE,20260730090000,student role allowed locally,remote absent,DEFERRED_TO_STUDENT_IDENTITY,FEATURE_CONTRACT,Deploy student identity when prerequisites are approved.
CONSTRAINTS,treinos_lifecycle_dates_check,MATERIAL_DIFFERENCE,20260728030000,workout lifecycle locally implemented,remote differs,DEFERRED_TO_WORKOUT_DELIVERY,FEATURE_CONTRACT,Reconcile workout delivery backend by object.
CONSTRAINTS,treino_eventos_metadata_object_check,MATERIAL_DIFFERENCE,AUDITOR_NORMALIZATION,semantic object check equivalent,remote evidence not material,SEMANTIC_FALSE_POSITIVE,NONE,Keep normalized out of blockers.
CONSTRAINTS,treinos_template_origin_snapshot_object_check,MATERIAL_DIFFERENCE,AUDITOR_NORMALIZATION,semantic object check equivalent,remote evidence not material,SEMANTIC_FALSE_POSITIVE,NONE,Keep normalized out of blockers.
CONSTRAINTS,treinos_template_origin_type_check,MATERIAL_DIFFERENCE,AUDITOR_NORMALIZATION,semantic check equivalent,remote evidence not material,SEMANTIC_FALSE_POSITIVE,NONE,Keep normalized out of blockers.
AOE_SECURITY,aoe_idempotency_get_or_create anon EXECUTE,REMOTE_ONLY_GRANT,20260801173000,anon EXECUTE=false locally,remote evidence still shows anon grant until applied,RESOLVED_BY_PHASE32_GROUP_E,SECURITY,Apply approved migration bundle before declaring production reconciled.
UTILITY_FUNCTIONS,set_workout_templates_updated_at search_path and public/anon/authenticated EXECUTE,BODY_DIFFERENT/REMOTE_ONLY_GRANTS,20260801180000,search_path=public; public/anon/authenticated EXECUTE=false,remote evidence showed missing search_path and excessive grants,RESOLVED_BY_PHASE34_GROUP_A,SECURITY,Apply approved migration bundle before declaring production reconciled.
AOE_BODY,aoe_idempotency_get_or_create body,BODY_DIFFERENT,DEFERRED,local body preserved,remote body differs,DEFERRED_TO_AOE_BODY_RECONCILIATION,BUSINESS_LOGIC,Review body semantics separately; do not mix with grant hardening.
ADMIN_FUNCTIONS,admin_atualizar_perfil legacy overload,REMOTE_OVERLOAD_ONLY,DEFERRED,modern overload present locally,remote legacy overload present,REMOTE_ONLY_LEGACY,COMPATIBILITY,EXTERNAL_CONSUMER_REVIEW_REQUIRED
ADMIN_FUNCTIONS,admin_bloquear_usuario legacy overload,REMOTE_OVERLOAD_ONLY,DEFERRED,modern overload present locally,remote legacy overload present,REMOTE_ONLY_LEGACY,COMPATIBILITY,EXTERNAL_CONSUMER_REVIEW_REQUIRED
FINANCIAL_FUNCTIONS,admin_liberar_assinante legacy overload,REMOTE_OVERLOAD_ONLY,DEFERRED,modern overload present locally,remote legacy overload present,REMOTE_ONLY_LEGACY,FINANCIAL,MANUAL_FINANCIAL_DECISION_REQUIRED
FINANCIAL_FUNCTIONS,admin_liberar_beta legacy overload,REMOTE_OVERLOAD_ONLY,DEFERRED,modern overload present locally,remote legacy overload present,REMOTE_ONLY_LEGACY,FINANCIAL,MANUAL_FINANCIAL_DECISION_REQUIRED
FINANCIAL_FUNCTIONS,admin_upsert_assinatura legacy overload,REMOTE_OVERLOAD_ONLY,DEFERRED,modern overload present locally,remote legacy overload present,REMOTE_ONLY_LEGACY,FINANCIAL,MANUAL_FINANCIAL_DECISION_REQUIRED
ADMIN_FUNCTIONS,admin_listar_logs body,BODY_DIFFERENT,DEFERRED,local body differs,remote body differs,MANUAL_ADMIN_DECISION_REQUIRED,BUSINESS_LOGIC,Manual product/admin decision before SQL.
ADMIN_FUNCTIONS,admin_listar_usuarios body,BODY_DIFFERENT,DEFERRED,local body differs,remote body differs,MANUAL_ADMIN_DECISION_REQUIRED,BUSINESS_LOGIC,Manual product/admin decision before SQL.
ADMIN_FUNCTIONS,admin_registrar_log body,BODY_DIFFERENT,DEFERRED,local body differs,remote body differs,MANUAL_ADMIN_DECISION_REQUIRED,BUSINESS_LOGIC,Manual product/admin decision before SQL.
FINANCIAL_FUNCTIONS,admin_upsert_assinatura modern body,BODY_DIFFERENT,DEFERRED,local financial/admin behavior differs,remote body differs,MANUAL_FINANCIAL_DECISION_REQUIRED,FINANCIAL,Product/financial behavior reconciliation pending.
STUDENT_IDENTITY,student_user_id and student RPCs,LOCAL_ONLY,20260730090000,local implemented,remote absent,LOCAL_ONLY_FUTURE_DEPLOYMENT,FEATURE_CONTRACT,DEFERRED_TO_STUDENT_IDENTITY
WORKOUT_DELIVERY,workout delivery backend contract,DIVERGENT,20260728030000,local implemented by existing migration; local final drift zero,REMOTE_WORKOUT_DELIVERY_PENDING,WORKOUT_DELIVERY_LOCAL_COMPLETE_REMOTE_PENDING,FEATURE_CONTRACT,Do not create duplicate migration; apply approved bundle later before production convergence.
MIGRATION_HISTORY,remote migration history alignment,INCONCLUSIVE,DEFERRED,local sequence coherent,remote history not aligned for reconciliation completion,HISTORY_ALIGNMENT_PENDING,HISTORY,No migration repair until schema convergence and strategy approval.
