migration,category,object,subobject,classification,purpose,dependency,functional_need,impact_if_absent,future_strategy,evidence_update
20260730090000_student_identity_contract.sql,column,alunos,student_user_id,EXPECTED_NOT_DEPLOYED,Student identity and student workout access.,backfill/default review,Student portal authorization contract,Student portal remains blocked for production.,Apply only after schema reconciliation plan is approved; do not repair as applied.,STUDENT_IDENTITY_ABSENT_REMOTE_CONFIRMED
20260730090000_student_identity_contract.sql,constraint,alunos,alunos_student_user_id_fkey,EXPECTED_NOT_DEPLOYED,Student identity and student workout access.,existing production data profile,Student portal authorization contract,Student portal remains blocked for production.,Apply only after schema reconciliation plan is approved; do not repair as applied.,STUDENT_IDENTITY_ABSENT_REMOTE_CONFIRMED
20260716090000_baseline_aruka_v1.sql,function_grant,admin_eh_admin,authenticated.execute,REQUIRED_FUTURE_RECONCILIATION,Baseline application contract.,schema history reconciliation,Application contract parity,Local baseline cannot be marked applied safely.,Apply only after schema reconciliation plan is approved; do not repair as applied.,STUDENT_IDENTITY_ABSENT_REMOTE_CONFIRMED
20260716090000_baseline_aruka_v1.sql,function_grant,admin_registrar_log,authenticated.execute,REQUIRED_FUTURE_RECONCILIATION,Baseline application contract.,schema history reconciliation,Application contract parity,Local baseline cannot be marked applied safely.,Apply only after schema reconciliation plan is approved; do not repair as applied.,STUDENT_IDENTITY_ABSENT_REMOTE_CONFIRMED
20260716090000_baseline_aruka_v1.sql,function_grant,admin_validar_acesso,authenticated.execute,REQUIRED_FUTURE_RECONCILIATION,Baseline application contract.,schema history reconciliation,Application contract parity,Local baseline cannot be marked applied safely.,Apply only after schema reconciliation plan is approved; do not repair as applied.,STUDENT_IDENTITY_ABSENT_REMOTE_CONFIRMED
20260730090000_student_identity_contract.sql,function_grant,desvincular_aluno_usuario,authenticated.execute,EXPECTED_NOT_DEPLOYED,Student identity and student workout access.,schema history reconciliation,Student portal authorization contract,Student portal remains blocked for production.,Apply only after schema reconciliation plan is approved; do not repair as applied.,STUDENT_IDENTITY_ABSENT_REMOTE_CONFIRMED
20260730090000_student_identity_contract.sql,function_grant,desvincular_aluno_usuario,postgres.execute,EXPECTED_NOT_DEPLOYED,Student identity and student workout access.,schema history reconciliation,Student portal authorization contract,Student portal remains blocked for production.,Apply only after schema reconciliation plan is approved; do not repair as applied.,STUDENT_IDENTITY_ABSENT_REMOTE_CONFIRMED
20260730090000_student_identity_contract.sql,function_grant,get_my_student_workouts,authenticated.execute,EXPECTED_NOT_DEPLOYED,Student identity and student workout access.,schema history reconciliation,Student portal authorization contract,Student portal remains blocked for production.,Apply only after schema reconciliation plan is approved; do not repair as applied.,STUDENT_IDENTITY_ABSENT_REMOTE_CONFIRMED
20260730090000_student_identity_contract.sql,function_grant,get_my_student_workouts,postgres.execute,EXPECTED_NOT_DEPLOYED,Student identity and student workout access.,schema history reconciliation,Student portal authorization contract,Student portal remains blocked for production.,Apply only after schema reconciliation plan is approved; do not repair as applied.,STUDENT_IDENTITY_ABSENT_REMOTE_CONFIRMED
20260730090000_student_identity_contract.sql,function_grant,vincular_aluno_usuario,authenticated.execute,EXPECTED_NOT_DEPLOYED,Student identity and student workout access.,schema history reconciliation,Student portal authorization contract,Student portal remains blocked for production.,Apply only after schema reconciliation plan is approved; do not repair as applied.,STUDENT_IDENTITY_ABSENT_REMOTE_CONFIRMED
20260730090000_student_identity_contract.sql,function_grant,vincular_aluno_usuario,postgres.execute,EXPECTED_NOT_DEPLOYED,Student identity and student workout access.,schema history reconciliation,Student portal authorization contract,Student portal remains blocked for production.,Apply only after schema reconciliation plan is approved; do not repair as applied.,STUDENT_IDENTITY_ABSENT_REMOTE_CONFIRMED
20260730090000_student_identity_contract.sql,function,desvincular_aluno_usuario,p_aluno_id uuid,EXPECTED_NOT_DEPLOYED,Student identity and student workout access.,"tables, grants, RLS policies",Student portal authorization contract,Student portal remains blocked for production.,Apply only after schema reconciliation plan is approved; do not repair as applied.,STUDENT_IDENTITY_ABSENT_REMOTE_CONFIRMED
20260730090000_student_identity_contract.sql,function,get_my_student_workouts,,EXPECTED_NOT_DEPLOYED,Student identity and student workout access.,"tables, grants, RLS policies",Student portal authorization contract,Student portal remains blocked for production.,Apply only after schema reconciliation plan is approved; do not repair as applied.,STUDENT_IDENTITY_ABSENT_REMOTE_CONFIRMED
20260730090000_student_identity_contract.sql,function,vincular_aluno_usuario,"p_aluno_id uuid, p_student_user_id uuid",EXPECTED_NOT_DEPLOYED,Student identity and student workout access.,"tables, grants, RLS policies",Student portal authorization contract,Student portal remains blocked for production.,Apply only after schema reconciliation plan is approved; do not repair as applied.,STUDENT_IDENTITY_ABSENT_REMOTE_CONFIRMED
20260730090000_student_identity_contract.sql,index,alunos,alunos_student_user_id_idx,EXPECTED_NOT_DEPLOYED,Student identity and student workout access.,schema history reconciliation,Student portal authorization contract,Student portal remains blocked for production.,Apply only after schema reconciliation plan is approved; do not repair as applied.,STUDENT_IDENTITY_ABSENT_REMOTE_CONFIRMED
