function_name,signature,category,reconciliation_status,source_migration,security_definer,search_path,local_definition_hash,remote_definition_hash,included_in_phase3_migration,phase3_decision,blocker,recommended_next_action
admin_atualizar_perfil,"p_user_id uuid, p_nome text, p_role text, p_tipo_acesso text, p_status text",ADMIN,REMOTE_OVERLOAD_ONLY,20260716090000_baseline_aruka_v1.sql,true,public,,,false,MANUAL_PRODUCT_DECISION_REQUIRED,Remote overload may preserve production behavior not present locally.,"Decide whether to backfill local migration, keep remote-only, or deprecate safely."
admin_bloquear_usuario,p_user_id uuid,ADMIN,REMOTE_OVERLOAD_ONLY,20260716090000_baseline_aruka_v1.sql,true,public,,,false,MANUAL_PRODUCT_DECISION_REQUIRED,Remote overload may preserve production behavior not present locally.,"Decide whether to backfill local migration, keep remote-only, or deprecate safely."
admin_liberar_assinante,"p_user_id uuid, p_plano text, p_data_inicio date, p_data_vencimento date",FINANCIAL,REMOTE_OVERLOAD_ONLY,20260716090000_baseline_aruka_v1.sql,true,public,,,false,MANUAL_PRODUCT_DECISION_REQUIRED,Remote overload may preserve production behavior not present locally.,"Decide whether to backfill local migration, keep remote-only, or deprecate safely."
admin_liberar_beta,p_user_id uuid,FINANCIAL,REMOTE_OVERLOAD_ONLY,20260716090000_baseline_aruka_v1.sql,true,public,,,false,MANUAL_PRODUCT_DECISION_REQUIRED,Remote overload may preserve production behavior not present locally.,"Decide whether to backfill local migration, keep remote-only, or deprecate safely."
admin_listar_logs,"p_acao text, p_target_user_id uuid, p_data_inicio date, p_data_fim date, p_busca text",ADMIN,BODY_DIFFERENT,return_type: local_raw=[len 277 hash 33ef26b] remote_raw=[len 277 hash 33ef26b] local_norm=[len 277 hash 8ee55b0b] remote_norm=[len 277 hash 8ee55b0b] local_hash=8ee55b0b remote_hash=8ee55b0b; security_definer: local_raw=true remote_raw=true local_norm=true remote_norm=true local_hash=7c9e9fe5 remote_hash=7c9e9fe5; volatility: local_raw=VOLATILE remote_raw=v local_norm=VOLATILE remote_norm=VOLATILE local_hash=51192625 remote_hash=51192625; definition: local_raw=[len 2217 hash 47c274e1] remote_raw=[len 2597 hash b99c082e] local_norm=[len 1924 hash 3ec521db] remote_norm=[len 2197 hash 9275210f] local_hash=3ec521db remote_hash=9275210f,true,"'public', 'auth'",b2bfe2e35748,9275210f,false,MANUAL_SECURITY_AND_BUSINESS_LOGIC_REVIEW_REQUIRED,Normalized function body differs; automated replacement could alter production behavior.,"Diff local and remote bodies with owner approval, then create a narrow migration."
admin_listar_usuarios,,ADMIN,BODY_DIFFERENT,return_type: local_raw=[len 208 hash 80b7f47b] remote_raw=[len 208 hash 80b7f47b] local_norm=[len 208 hash 201d791b] remote_norm=[len 208 hash 201d791b] local_hash=201d791b remote_hash=201d791b; security_definer: local_raw=true remote_raw=true local_norm=true remote_norm=true local_hash=7c9e9fe5 remote_hash=7c9e9fe5; volatility: local_raw=VOLATILE remote_raw=v local_norm=VOLATILE remote_norm=VOLATILE local_hash=51192625 remote_hash=51192625; definition: local_raw=[len 1267 hash bd75ea6d] remote_raw=[len 1393 hash 56b4a32d] local_norm=[len 1069 hash bf16df8] remote_norm=[len 1163 hash eafadef8] local_hash=bf16df8 remote_hash=eafadef8,true,"'public', 'auth'",91f0b00cb51c,eafadef8,false,MANUAL_SECURITY_AND_BUSINESS_LOGIC_REVIEW_REQUIRED,Normalized function body differs; automated replacement could alter production behavior.,"Diff local and remote bodies with owner approval, then create a narrow migration."
admin_registrar_log,"p_target_user_id uuid, p_acao text, p_entidade text, p_entidade_id uuid, p_dados_anteriores jsonb, p_dados_novos jsonb, p_user_agent text",ADMIN,BODY_DIFFERENT,return_type: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; security_definer: local_raw=true remote_raw=true local_norm=true remote_norm=true local_hash=7c9e9fe5 remote_hash=7c9e9fe5; volatility: local_raw=VOLATILE remote_raw=v local_norm=VOLATILE remote_norm=VOLATILE local_hash=51192625 remote_hash=51192625; definition: local_raw=[len 894 hash 53a972a5] remote_raw=[len 1179 hash ac3b769d] local_norm=[len 698 hash 87baeeed] remote_norm=[len 911 hash 35b86b07] local_hash=87baeeed remote_hash=35b86b07,true,"'public', 'auth'",342a071d3517,35b86b07,false,MANUAL_SECURITY_AND_BUSINESS_LOGIC_REVIEW_REQUIRED,Normalized function body differs; automated replacement could alter production behavior.,"Diff local and remote bodies with owner approval, then create a narrow migration."
admin_upsert_assinatura,"p_user_id uuid, p_plano text, p_status text, p_data_inicio date, p_data_vencimento date",FINANCIAL,REMOTE_OVERLOAD_ONLY,20260716090000_baseline_aruka_v1.sql,true,public,,,false,MANUAL_PRODUCT_DECISION_REQUIRED,Remote overload may preserve production behavior not present locally.,"Decide whether to backfill local migration, keep remote-only, or deprecate safely."
admin_upsert_assinatura,"p_user_id uuid, p_plano text, p_status text, p_data_inicio date, p_data_vencimento date, p_user_agent text",FINANCIAL,BODY_DIFFERENT,return_type: local_raw=void remote_raw=void local_norm=void remote_norm=void local_hash=7c9faa57 remote_hash=7c9faa57; security_definer: local_raw=true remote_raw=true local_norm=true remote_norm=true local_hash=7c9e9fe5 remote_hash=7c9e9fe5; volatility: local_raw=VOLATILE remote_raw=v local_norm=VOLATILE remote_norm=VOLATILE local_hash=51192625 remote_hash=51192625; definition: local_raw=[len 1831 hash de03914e] remote_raw=[len 2023 hash c9c60e05] local_norm=[len 1609 hash ef3f521a] remote_norm=[len 1621 hash 601807d6] local_hash=ef3f521a remote_hash=601807d6,true,"'public', 'auth'",1ed9bb633e6c,601807d6,false,MANUAL_SECURITY_AND_BUSINESS_LOGIC_REVIEW_REQUIRED,Normalized function body differs; automated replacement could alter production behavior.,"Diff local and remote bodies with owner approval, then create a narrow migration."
aoe_idempotency_get_or_create,"p_id text, p_actor_id uuid, p_organization_id uuid, p_operation text, p_idempotency_key text, p_request_fingerprint text",AOE,BODY_DIFFERENT,return_type: local_raw=jsonb remote_raw=jsonb local_norm=jsonb remote_norm=jsonb local_hash=fbe1be1 remote_hash=fbe1be1; security_definer: local_raw=true remote_raw=true local_norm=true remote_norm=true local_hash=7c9e9fe5 remote_hash=7c9e9fe5; volatility: local_raw=VOLATILE remote_raw=v local_norm=VOLATILE remote_norm=VOLATILE local_hash=51192625 remote_hash=51192625; definition: local_raw=[len 1087 hash 28872e48] remote_raw=[len 950 hash 2f57b34e] local_norm=[len 961 hash d608c583] remote_norm=[len 802 hash 3c58f6f8] local_hash=d608c583 remote_hash=3c58f6f8,true,'public',e8aa22746f1e,3c58f6f8,false,DEFER_TO_AOE_RECONCILIATION,AOE function body/grant changes need dedicated domain review.,Compare intended AOE runtime behavior before generating SQL.
